NON-GERM DATA:														
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted	SiO2	SiO2_sigma
SW1 Granite	Monazite		La	2242.5468049844	200.6130450651			Phenocryst-Matrix	Wark and Miller 1993 10.1016/0009-2541(93)90247-G	Solid-Melt	CBK addition	15-MAY-2014	70.4	5
SW1 Granite	Monazite		Ce	2227.5286531761	83.4199629352			Phenocryst-Matrix	Wark and Miller 1993 10.1016/0009-2541(93)90247-G	Solid-Melt	CBK addition	15-MAY-2014	70.4	5
SW1 Granite	Monazite		Nd	1899.3887367045	12.3671331108			Phenocryst-Matrix	Wark and Miller 1993 10.1016/0009-2541(93)90247-G	Solid-Melt	CBK addition	15-MAY-2014	70.4	5
SW1 Granite	Monazite		Sm	1936.5936280878	177.2136865301			Phenocryst-Matrix	Wark and Miller 1993 10.1016/0009-2541(93)90247-G	Solid-Melt	CBK addition	15-MAY-2014	70.4	5
SW1 Granite	Monazite		Gd	1016.6771206416	278.0719090249			Phenocryst-Matrix	Wark and Miller 1993 10.1016/0009-2541(93)90247-G	Solid-Melt	CBK addition	15-MAY-2014	70.4	5
SW1 Granite	Monazite		Ho	303.2340140609	47.648628362			Phenocryst-Matrix	Wark and Miller 1993 10.1016/0009-2541(93)90247-G	Solid-Melt	CBK addition	15-MAY-2014	70.4	5
SW1 Granite	Monazite		Y	217.4812174898	114.442748776			Phenocryst-Matrix	Wark and Miller 1993 10.1016/0009-2541(93)90247-G	Solid-Melt	CBK addition	15-MAY-2014	70.4	5
SW1 Granite	Monazite		Th	2334.0059883975	413.0547844408			Phenocryst-Matrix	Wark and Miller 1993 10.1016/0009-2541(93)90247-G	Solid-Melt	CBK addition	15-MAY-2014	70.4	5
SW1 Granite	Monazite		U	2997.9700579043	2301.5893826873			Phenocryst-Matrix	Wark and Miller 1993 10.1016/0009-2541(93)90247-G	Solid-Melt	CBK addition	15-MAY-2014	70.4	5
SW5 Aplite	Monazite		La	13740.8794221758	1549.4666237088			Phenocryst-Matrix	Wark and Miller 1993 10.1016/0009-2541(93)90247-G	Solid-Melt	CBK addition	15-MAY-2014	73.6	5
SW5 Aplite	Monazite		Ce	16029.2806654074	1194.8992562618			Phenocryst-Matrix	Wark and Miller 1993 10.1016/0009-2541(93)90247-G	Solid-Melt	CBK addition	15-MAY-2014	73.6	5
SW5 Aplite	Monazite		Nd	9345.4966711036	442.3713041344			Phenocryst-Matrix	Wark and Miller 1993 10.1016/0009-2541(93)90247-G	Solid-Melt	CBK addition	15-MAY-2014	73.6	5
SW5 Aplite	Monazite		Sm	11191.5762519736	2098.9509414749			Phenocryst-Matrix	Wark and Miller 1993 10.1016/0009-2541(93)90247-G	Solid-Melt	CBK addition	15-MAY-2014	73.6	5
SW5 Aplite	Monazite		Gd	6579.858694506	1849.7167434591			Phenocryst-Matrix	Wark and Miller 1993 10.1016/0009-2541(93)90247-G	Solid-Melt	CBK addition	15-MAY-2014	73.6	5
SW5 Aplite	Monazite		Ho	1282.0985210475	341.6399659636			Phenocryst-Matrix	Wark and Miller 1993 10.1016/0009-2541(93)90247-G	Solid-Melt	CBK addition	15-MAY-2014	73.6	5
SW5 Aplite	Monazite		Yb	8500.0827055232	276.6289211527			Phenocryst-Matrix	Wark and Miller 1993 10.1016/0009-2541(93)90247-G	Solid-Melt	CBK addition	15-MAY-2014	73.6	5
SW5 Aplite	Monazite		Y	704.9883792908	32.8545576433			Phenocryst-Matrix	Wark and Miller 1993 10.1016/0009-2541(93)90247-G	Solid-Melt	CBK addition	15-MAY-2014	73.6	5
SW5 Aplite	Monazite		Th	16525.0036387832	1641.6107984943			Phenocryst-Matrix	Wark and Miller 1993 10.1016/0009-2541(93)90247-G	Solid-Melt	CBK addition	15-MAY-2014	73.6	5
SW5 Aplite	Monazite		U	27266.9032827439	6954.4353477787			Phenocryst-Matrix	Wark and Miller 1993 10.1016/0009-2541(93)90247-G	Solid-Melt	CBK addition	15-MAY-2014	73.6	5
