EarthRef.org -- GERM Partition Coefficient (Kd) Database														
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen														
														
DATA:														
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted	SiO2	SiO2_sigma
High Silica Rhyolite	Allanite	25	Mn	21.1				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Allanite	26	Fe	38.8				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Allanite	29	Cu				5.8	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Allanite	30	Zn	9.7				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Allanite	31	Ga	2.9				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Allanite	37	Rb	0.19				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Allanite	38	Sr				1.8	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Allanite	39	Y	95.5				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Allanite	40	Zr				0.29	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Allanite	41	Nb	1.7				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Allanite	82	Pb				0.92	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Allanite	90	Th	648				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Allanite	92	U			11.9		Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Allanite	25	Mn	9.5				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Allanite	26	Fe	10				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Allanite	30	Zn	2.92				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Allanite	31	Ga	1.5				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Allanite	37	Rb				0.029	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Allanite	38	Sr	0.78				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Allanite	39	Y	28.8				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Allanite	40	Zr	0.13				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Allanite	41	Nb	0.12				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Allanite	82	Pb				0.53	Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Allanite	90	Th	283				Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Low Silica Rhyolite	Allanite	92	U			12		Phenocryst-Matrix	Ewart & Griffin 1994	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Allanite	21	Sc			49.4	62.3	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Allanite	24	Cr			369	391	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Allanite	25	Mn			17.1	19.1	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Allanite	27	Co			41	44	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Allanite	30	Zn			24	30	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Allanite	57	La			2362	2827	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Allanite	58	Ce			2063	2494	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Allanite	60	Nd			1400	1840	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Allanite	62	Sm			756	977	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Allanite	63	Eu			100	122	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Allanite	65	Tb			235	311	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
