DATA:														
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted	SiO2	SiO2_sigma
Synthetic silicic peraluminous melt	Muscovite	14	Si	0.73	0.01			Experimental	Icenhower & London 1995	Solid-Melt	Sample 5+14		64.27	5
Synthetic silicic peraluminous melt	Muscovite	22	Ti	7.28	1.19			Experimental	Icenhower & London 1995	Solid-Melt	Sample 5+14		64.27	5
Synthetic silicic peraluminous melt	Muscovite	13	Al	1.97	0.06			Experimental	Icenhower & London 1995	Solid-Melt	Sample 5+14		64.27	5
Synthetic silicic peraluminous melt	Muscovite	12	Mg	16	2.98			Experimental	Icenhower & London 1995	Solid-Melt	Sample 5+14		64.27	5
Synthetic silicic peraluminous melt	Muscovite	20	Са	0.12	0.04			Experimental	Icenhower & London 1995	Solid-Melt	Sample 5+14		64.27	5
Synthetic silicic peraluminous melt	Muscovite	25	Mn	1	0.14			Experimental	Icenhower & London 1995	Solid-Melt	Sample 5+14		64.27	5
Synthetic silicic peraluminous melt	Muscovite	26	Fe	5.17	0.34			Experimental	Icenhower & London 1995	Solid-Melt	Sample 5+14		64.27	5
Synthetic silicic peraluminous melt	Muscovite	38	Sr	0.52	0.12			Experimental	Icenhower & London 1995	Solid-Melt	Sample 5+14		64.27	5
Synthetic silicic peraluminous melt	Muscovite	56	Ва	5.62	1.12			Experimental	Icenhower & London 1995	Solid-Melt	Sample 5+14		64.27	5
Synthetic silicic peraluminous melt	Muscovite	11	Na	0.4	0.03			Experimental	Icenhower & London 1995	Solid-Melt	Sample 5+14		64.27	5
Synthetic silicic peraluminous melt	Muscovite	19	K	2.54	0.12			Experimental	Icenhower & London 1995	Solid-Melt	Sample 5+14		64.27	5
Synthetic silicic peraluminous melt	Muscovite	37	Rb	1.51	0.11			Experimental	Icenhower & London 1995	Solid-Melt	Sample 5+14		64.27	5
Synthetic silicic peraluminous melt	Muscovite	55	Cs	0.23	0.03			Experimental	Icenhower & London 1995	Solid-Melt	Sample 5+14		64.27	5
Synthetic silicic peraluminous melt	Muscovite	9	F	1.92	0.15			Experimental	Icenhower & London 1995	Solid-Melt	Sample 5+14		64.27	5
Synthetic silicic peraluminous melt	Muscovite	14	Si	0.74	0.01			Experimental	Icenhower & London 1995	Solid-Melt	Sample 5+15		63.94	5
Synthetic silicic peraluminous melt	Muscovite	22	Ti	4.44	0.59			Experimental	Icenhower & London 1995	Solid-Melt	Sample 5+15		63.94	5
Synthetic silicic peraluminous melt	Muscovite	13	Al	1.89	0.02			Experimental	Icenhower & London 1995	Solid-Melt	Sample 5+15		63.94	5
Synthetic silicic peraluminous melt	Muscovite	12	Mg	10.75	1.38			Experimental	Icenhower & London 1995	Solid-Melt	Sample 5+15		63.94	5
Synthetic silicic peraluminous melt	Muscovite	20	Са	0.14	0.02			Experimental	Icenhower & London 1995	Solid-Melt	Sample 5+15		63.94	5
Synthetic silicic peraluminous melt	Muscovite	25	Mn	1	0.12			Experimental	Icenhower & London 1995	Solid-Melt	Sample 5+15		63.94	5
Synthetic silicic peraluminous melt	Muscovite	26	Fe	4.28	0.37			Experimental	Icenhower & London 1995	Solid-Melt	Sample 5+15		63.94	5
Synthetic silicic peraluminous melt	Muscovite	38	Sr	0.49	0.09			Experimental	Icenhower & London 1995	Solid-Melt	Sample 5+15		63.94	5
Synthetic silicic peraluminous melt	Muscovite	56	Ва	3.41	0.42			Experimental	Icenhower & London 1995	Solid-Melt	Sample 5+15		63.94	5
Synthetic silicic peraluminous melt	Muscovite	11	Na	0.35	0.01			Experimental	Icenhower & London 1995	Solid-Melt	Sample 5+15		63.94	5
Synthetic silicic peraluminous melt	Muscovite	19	K	2.58	0.04			Experimental	Icenhower & London 1995	Solid-Melt	Sample 5+15		63.94	5
Synthetic silicic peraluminous melt	Muscovite	37	Rb	1.75	0.04			Experimental	Icenhower & London 1995	Solid-Melt	Sample 5+15		63.94	5
