EarthRef.org -- GERM Partition Coefficient (Kd) Database														
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen														
														
DATA:														
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted	SiO2	SiO2_sigma
Andesite	Sphene	41	Nb			5.3	7.6	Experimental	Green & Pearson 1987	Solid-Melt		12-DEC-2000	NaN	NaN
Andesite	Sphene	73	Ta			15.4	19.6	Experimental	Green & Pearson 1987	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt	Sphene	57	La			2.1	8.6	Experimental	Green & Pearson 1983	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt	Sphene	62	Sm			11	63	Experimental	Green & Pearson 1983	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt	Sphene	63	Eu			0.06	0.21	Experimental	Green & Pearson 1983	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt	Sphene	67	Ho			11	41	Experimental	Green & Pearson 1983	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt	Sphene	71	Lu			6	12	Experimental	Green & Pearson 1983	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt-Andesite	Sphene	41	Nb			3.5	5.7	Experimental	Green & Pearson 1987	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt-Andesite	Sphene	73	Ta			10.8	18.9	Experimental	Green & Pearson 1987	Solid-Melt		12-DEC-2000	NaN	NaN
Trachyte	Sphene	41	Nb			5.4	7.6	Experimental	Green & Pearson 1987	Solid-Melt		12-DEC-2000	NaN	NaN
Trachyte	Sphene	73	Ta			14	18.3	Experimental	Green & Pearson 1987	Solid-Melt		12-DEC-2000	NaN	NaN
Andesite	Sphene	21	Sc	10				Phenocryst-Matrix	Luhr & Carmichael 1980	Solid-Melt		12-DEC-2000	NaN	NaN
Andesite	Sphene	24	Cr				21	Phenocryst-Matrix	Luhr & Carmichael 1980	Solid-Melt		12-DEC-2000	NaN	NaN
Andesite	Sphene	27	Co				4.2	Phenocryst-Matrix	Luhr & Carmichael 1980	Solid-Melt		12-DEC-2000	NaN	NaN
Andesite	Sphene	30	Zn	3.9				Phenocryst-Matrix	Luhr & Carmichael 1980	Solid-Melt		12-DEC-2000	NaN	NaN
Andesite	Sphene	56	Ba				0.6	Phenocryst-Matrix	Luhr & Carmichael 1980	Solid-Melt		12-DEC-2000	NaN	NaN
Andesite	Sphene	57	La	46				Phenocryst-Matrix	Luhr & Carmichael 1980	Solid-Melt		12-DEC-2000	NaN	NaN
Andesite	Sphene	58	Ce	87				Phenocryst-Matrix	Luhr & Carmichael 1980	Solid-Melt		12-DEC-2000	NaN	NaN
Andesite	Sphene	60	Nd	152				Phenocryst-Matrix	Luhr & Carmichael 1980	Solid-Melt		12-DEC-2000	NaN	NaN
Andesite	Sphene	62	Sm	204				Phenocryst-Matrix	Luhr & Carmichael 1980	Solid-Melt		12-DEC-2000	NaN	NaN
Andesite	Sphene	63	Eu	181				Phenocryst-Matrix	Luhr & Carmichael 1980	Solid-Melt		12-DEC-2000	NaN	NaN
Andesite	Sphene	65	Tb	248				Phenocryst-Matrix	Luhr & Carmichael 1980	Solid-Melt		12-DEC-2000	NaN	NaN
Andesite	Sphene	66	Dy	206				Phenocryst-Matrix	Luhr & Carmichael 1980	Solid-Melt		12-DEC-2000	NaN	NaN
Andesite	Sphene	70	Yb	104				Phenocryst-Matrix	Luhr & Carmichael 1980	Solid-Melt		12-DEC-2000	NaN	NaN
Andesite	Sphene	71	Lu	92				Phenocryst-Matrix	Luhr & Carmichael 1980	Solid-Melt		12-DEC-2000	NaN	NaN
Andesite	Sphene	72	Hf	10.1				Phenocryst-Matrix	Luhr & Carmichael 1980	Solid-Melt		12-DEC-2000	NaN	NaN
Andesite	Sphene	73	Ta	142				Phenocryst-Matrix	Luhr & Carmichael 1980	Solid-Melt		12-DEC-2000	NaN	NaN
