EarthRef.org -- GERM Partition Coefficient (Kd) Database														
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen														
														
DATA:														
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted	SiO2	SiO2_sigma
Rhyolite	Alkali Feldspar	11	Na			0.72	3.75	Experimental	Icenhower & London 1996	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Alkali Feldspar	12	Mg			0.18	0.75	Experimental	Icenhower & London 1996	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Alkali Feldspar	13	Al			1.24	1.62	Experimental	Icenhower & London 1996	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Alkali Feldspar	14	Si			0.87	0.94	Experimental	Icenhower & London 1996	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Alkali Feldspar	15	P			0.22	1.16	Experimental	Icenhower & London 1996	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Alkali Feldspar	19	K			0.3	3.13	Experimental	Icenhower & London 1996	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Alkali Feldspar	20	Ca			0.21	6.58	Experimental	Icenhower & London 1996	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Alkali Feldspar	26	Fe			0.18	0.64	Experimental	Icenhower & London 1996	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Alkali Feldspar	37	Rb			0.07	0.76	Experimental	Icenhower & London 1996	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Alkali Feldspar	38	Sr			7.96	23.05	Experimental	Icenhower & London 1996	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Alkali Feldspar	55	Cs			0.09	0.13	Experimental	Icenhower & London 1996	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Alkali Feldspar	56	Ba			1.07	18.38	Experimental	Icenhower & London 1996	Solid-Melt		12-DEC-2000	NaN	NaN
														
LINKS TO REFERENCES:														
Icenhower & London 1996 - http://earthref.org/cgi-bin/err.cgi?n=119														
														
ACKNOWLEDGEMENTS:														
